douyin,kuaishou,wechat,sales
7.51,3.5,5.27,37.8
13.92,1.43,2.56,36.6
7.64,0.08,1.48,28.2
12.57,3.69,7.92,47.7
1.94,1.6,2.23,19.8
14.13,2.68,4.62,46.5
1.88,2.17,5.04,21
22.4,0.24,1.56,49.8
12.31,3.46,1.24,45.6
22.95,3.23,7.42,59.1
8.72,1.18,2.59,31.8
0.78,3.89,5.06,19.8
8.02,0,0.92,35.7
22.03,4.9,0.32,74.1
5.96,1.2,4.31,29.1
0.07,3.96,0.87,4.8
26.52,0.29,4.3,53.1
0.84,2.72,0.21,17.1
21.98,3.35,4.51,58.8
3.69,3.86,6.56,32.4
4.83,4.7,0.85,34.8
2.56,3.9,0.93,28.5
27.37,2.89,5.97,62.4
4.3,2.59,2.05,28.8
18.49,4.39,0.17,62.1
7.34,1.7,1.29,32.7
19.37,3.54,7.56,57.6
22.05,3.32,3.79,60.3
10.46,0.57,3.44,31.2
9.62,1.48,3.89,36.9
14.03,0.19,0.9,30.9
24.01,0.73,0.87,54.6
24.32,4.9,4.43,76.2
3.8,4.03,1.19,32.7
4.47,2.58,2.06,30.3
28.07,1.39,3.7,48.3
12.1,0.84,4.87,34.8
19.76,2.33,1.42,49.8
17.13,3.97,3.77,48
18.78,2.11,0.95,61.8
0.41,1.16,0.57,9.6
9.39,4.35,5.05,45.9
14.98,0.13,2.43,30.3
1.17,3.69,4.52,21.9
13.17,1.84,3.46,38.7
17.25,1.81,3.07,49.2
8.57,3.58,4.93,39.9
18.84,1.81,2.56,59.7
16.35,3.68,0.74,54
11.72,1.47,0.54,35.7
23.45,0.34,8.48,50.7
1.79,3.76,2.16,24
20.68,0.52,1.94,51.6
21.54,2.36,5.76,51.3
28.43,1.06,0.64,60
5,1.16,1.84,25.2
16.45,2.09,4.74,52.5
1.96,2.01,1.7,22.8
16.84,0.71,1.28,50.1
22.24,0.34,1.31,49.5
27.69,4.89,4.18,81
24.84,3.02,2.03,60.6
17.02,0.78,3.52,50.1
27.67,0.23,2.37,50.4
16.56,1,1.76,52.8
15.66,0.26,0.83,46.5
21.85,0.54,2.74,51.6
5.62,0.57,2.97,26.1
28.76,4.3,7.18,78.6
25.38,2.13,3,52.8
20.5,4.51,1.96,67.8
13.95,0.21,2.66,30.9
19.11,2.87,1.82,51.9
28.6,1.39,0.37,62.7
1.87,1.21,2.34,20.1
3.95,4.11,0.58,32.4
7.55,1.08,0.6,35.7
1.72,0.41,3.16,17.7
16.68,4.2,0.36,58.8
14.97,3.56,0.6,51.9
3.82,0.37,1.38,22.8
9.42,0.49,0.81,42
17.7,0.93,0.64,44.4
28.36,4.2,6.62,76.5
23.21,0.86,0.87,55.2
